Name,style,Exterior color,interior color,Engine,drive type,Fuel Type,Transmission,Mileage,mpg city,mpg highway,price,Year,Engine V,Brand
Mercedes-Benz GLS,SUV,Polar White,Saddle Brown/Black,V-6 Gas Turbocharged,AWD,Gas,Automatic,48788,17,22,48964,2018,3.0,Mercedes
Accord,Sedan,White Orchid Pearl,Tan,Inline-4 Gas,FWD,Gas,Automatic,39229,27,36,17999,2017,2.4,Honda
Corolla,Sedan,Super White,Unknown,Inline-4 Gas,FWD,Gas,Automatic,46335,30,38,20397,2020,1.8,Toyota
Explorer,SUV,Shadow Black,Ebony Black,V-6 Gas Turbocharged,FWD,Gas,Automatic,92922,19,27,21991,2017,3.5,Ford
F-150,Pickup Truck,Oxford White,Tan,V-8 Gas,4WD,Gas,Automatic,40068,16,22,36999,2019,5.0,Ford
Santa Fe,SUV,Symphony Silver,Unknown,Inline-4 Gas,AWD,Gas,Automatic,42543,21,27,22495,2019,2.4,Hyundai
Mercedes-Benz C-Class,Sedan,Black,Black,Inline-4 Gas Turbocharged,AWD,Gas,Automatic,23709,23,32,32901,2018,2.0,Mercedes
,Pickup Truck,Bright White Clearcoat,Lt Frost Beige/Mountain,V-6 Gas,4WD,Gas,Automatic,70628,19,24,39995,2020,3.6,Ram
Civic,Sedan,Aegean Blue Metallic,Black,Inline-4 Gas,FWD,Gas,Automatic,11743,25,36,15999,2019,2.0,Honda
F-150,Pickup Truck,Tuxedo Black Metallic,Steel Gray,V-6 Gas,RWD,Gas,Automatic,126241,17,23,16663,2014,3.7,Ford
F-150,Pickup Truck,Black Velvet,Medium Earth Gray,V-8 Gas,4WD,Gas,Automatic,184570,18,23,27300,2018,5.0,Ford
F-150,Pickup Truck,Sterling Gray Metallic,Black,V-8 Gas,RWD,Gas,Automatic,102965,15,21,20069,2014,5.0,Ford
Mercedes-Benz C-Class,Sedan,Black,Black,Inline-4 Gas Turbocharged,RWD,Gas,Automatic,30306,24,33,28919,2018,2.0,Mercedes
200,Sedan,Black Clearcoat,Black,Inline-4 Gas,FWD,Gas,Automatic,137201,23,36,7995,2015,2.4,Chrysler
Altima,Sedan,Gun Metallic,Charcoal,Inline-4 Gas,FWD,Gas,Automatic,44839,27,38,15500,2018,2.5,Nissan
F-150,Pickup Truck,Black,Black,V-8 Gas,4WD,Gas,Automatic,95725,18,23,25888,2018,5.0,Ford
F-150,Pickup Truck,Oxford White,Black,V-6 Gas Turbocharged,4WD,Gas,Automatic,28428,18,23,43990,2019,2.7,Ford
200,Sedan,Black Clearcoat,Black,Inline-4 Gas,FWD,Gas,Automatic,170000,23,36,5999,2015,2.4,Chrysler
,Pickup Truck,Bright White Clearcoat,Diesel Gray/Black,V-6 Gas,RWD,Gas,Automatic,186667,17,25,15900,2016,3.6,Ram
Odyssey,Minivan,Gray,Gray,V-6 Gas,FWD,Gas,Automatic,81033,18,27,12500,2012,3.5,Honda
F-150,Pickup Truck,Blue Jeans Metallic,Black,V-6 Gas,4WD,Gas,Automatic,66335,18,23,30000,2018,3.3,Ford
Civic,Sedan,Crystal Black Pearl,Black,Inline-4 Gas,FWD,Gas,Automatic,95496,28,39,10499,2012,1.8,Honda
Mercedes-Benz C-Class,Sedan,Polar White,Black,Inline-4 Gas Turbocharged,RWD,Gas,Automatic,44902,23,34,33988,2019,2.0,Mercedes
Edge,SUV,Shadow Black,Ebony,Inline-4 Gas Turbocharged,AWD,Gas,Automatic,58732,20,27,19498,2018,2.0,Ford
Grand Cherokee,SUV,Bright White Clearcoat,Black,V-6 Gas,4WD,Gas,Automatic,26101,18,25,32695,2018,3.6,Jeep
Malibu,Sedan,Nightfall Gray Metallic,Jet Black,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,59682,27,36,18900,2018,1.5,Chevrolet
Camry,Sedan,Midnight Black Metallic,Black,Inline-4 Gas,FWD,Gas,Automatic,93546,28,39,14999,2018,2.5,Toyota
Wrangler,SUV,Blue,Gray,V-4 Gas Turbocharged,4WD,Gas,Automatic,23091,21,22,46900,2020,2.0,Jeep
F-150,Pickup Truck,Lightning Blue,Black,V-6 Gas,4WD,Gas,Automatic,57889,18,23,33525,2018,3.3,Ford
Mercedes-Benz C-Class,Sedan,Polar White,Black,Inline-4 Gas Turbocharged,RWD,Gas,Automatic,50320,24,33,29499,2018,2.0,Mercedes
F-150,Pickup Truck,Ingot Silver Metallic,Black,V-6 Gas Turbocharged,4WD,Gas,Automatic,156761,18,23,25993,2015,3.5,Ford
Elantra,Sedan,Symphony Silver,Gray,Inline-4 Gas,FWD,Gas,Automatic,78265,29,38,9999,2017,2.0,Hyundai
Sierra,Pickup Truck,White,Unspecified,V-8 Gas,4WD,Gas,Automatic,236637,17,22,16990,2014,5.3,GMC
